,name,market_cap
0,Bitcoin,1206547874874
1,Ethereum,320467809737
2,Tether,115641341009
3,BNB,77731918080
4,Solana,72770697539
5,USDC,34458464328
6,XRP,33146383367
7,Lido Staked Ether,26151592301
8,Toncoin,16678213783
9,Dogecoin,15948639496
10,Cardano,12547526580
11,TRON,11197384701
12,Wrapped Bitcoin,9456295090
13,Avalanche,8732633922
14,Shiba Inu,8479382247
15,Bitcoin Cash,7001049871
16,Polkadot,6673494233
17,Chainlink,6497351308
18,LEO Token,5399751919
19,Dai,5230896904
20,Uniswap,4707349375
21,Litecoin,4618194421
22,NEAR Protocol,4585470992
23,Kaspa,4112003852
24,Wrapped eETH,4073479338
25,Polygon,4007318637
26,Pepe,3609339278
27,Internet Computer,3462654099
28,Ethena USDe,3115397653
29,Stellar,3004553592
30,Aptos,2916452807
31,Ethereum Classic,2895992781
32,Monero,2767009406
33,Cronos,2486109325
34,Sui,2330636458
35,Artificial Superintelligence Alliance,2325358988
36,Bittensor,2235032921
37,Stacks,2215864700
38,OKB,2212163649
39,Filecoin,2205968799
40,Mantle,2111196600
41,Hedera,2021481592
42,Cosmos Hub,1997727413
43,Arbitrum,1961890042
44,Render,1953415117
45,VeChain,1935424649
46,First Digital USD,1904646331
47,Immutable,1888266697
48,Injective,1879523703
49,Maker,1856147715
50,dogwifhat,1838323907
51,Optimism,1736620108
52,Rocket Pool ETH,1486131248
53,WhiteBIT Coin,1483114665
54,Arweave,1461384199
55,Bonk,1439384859
56,The Graph,1420720562
57,Aave,1408562111
58,Bitget Token,1315288596
59,Mantle Staked Ether,1302111783
60,Renzo Restaked ETH,1273956533
61,FLOKI,1244467609
62,Notcoin,1230855952
63,Theta Network,1198499383
64,Jupiter,1187216384
65,Celestia,1164093078
66,Ondo,1160824512
67,THORChain,1138687137
68,Pyth Network,1103676428
69,Helium,1079616043
70,JasmyCoin,1064596297
71,Algorand,1006083736
72,Fantom,997292849
73,Quant,995615058
74,Lido DAO,987905877
75,Brett,980799864
76,Core,980683669
77,Gate,951963730
78,Sei,934492149
79,MANTRA,898599103
80,ether.fi Staked ETH,891817971
81,Flow,853801606
82,Bitcoin SV,848540989
83,Fasttoken,809973101
84,Marinade Staked SOL,802924135
85,MultiversX,783885444
86,KuCoin,770361536
87,Flare,751777070
88,BitTorrent,748428457
89,Beam,747027279
90,USDD,743150428
91,EOS,737119557
92,Akash Network,725978422
93,Axie Infinity,718996438
94,PayPal USD,705836626
95,NEO,694918110
96,Tezos,682406519
97,Tokenize Xchange,679863506
98,Kelp DAO Restaked ETH,673562344
0,GALA,653478314
1,Ethereum Name Service,648100282
2,Frax,647605253
3,Starknet,646886662
4,eCash,634097863
5,Zcash,624189016
6,The Sandbox,618933043
7,ORDI,616403552
8,Worldcoin,610290216
9,NEXO,609775548
10,Conflux,602829458
11,Tether Gold,599573119
12,Popcat,592316644
13,Ethena,589114418
14,SATS (Ordinals),575547477
15,Wormhole,575311389
16,Coinbase Wrapped Staked ETH,562686483
17,AIOZ Network,562494465
18,Mog Coin,547977563
19,Ronin,546410828
20,Decentraland,523682046
21,Chiliz,514817805
22,BOOK OF MEME,512545544
23,Raydium,511553994
24,Mina Protocol,510066465
25,Frax Ether,507907225
26,Klaytn,497870650
27,TrueUSD,495512554
28,IOTA,463635500
29,Terra Luna Classic,463463778
30,cat in a dogs world,456561092
31,PAX Gold,455188745
32,Gnosis,453686294
33,DeXe,445292554
34,Astar,443883858
35,Pendle,443052791
36,Synthetix Network,438208247
37,Oasis Network,434179330
38,ZKsync,433376195
39,Axelar,432008411
40,Livepeer,423411680
41,ApeCoin,420139548
42,Swell Ethereum,418812590
43,Aerodrome Finance,409773063
44,USDB,406473337
45,Bitcoin Gold,404703719
46,LayerZero,403946127
47,Staked Frax Ether,399505125
48,SafePal,394671556
49,Nervos Network,393750681
50,XDC Network,392451355
51,PancakeSwap,390412347
52,Theta Fuel,385811913
53,APENFT,383436456
54,Trust Wallet,379573702
55,Safe,367896287
56,Kava,366332380
57,MX,358860648
58,H2O Dao,358725510
59,Compound,353384146
60,1inch,345505947
61,Beldex,341081379
62,Jito,339029763
63,IoTeX,330382932
64,Ondo US Dollar Yield,326727458
65,DOG•GO•TO•THE•MOON (Runes),324055940
66,Bitcoin Avalanche Bridged (BTC.b),321335907
67,Aevo,318858794
68,Illuvium,307351575
69,Stader ETHx,306490577
70,ConstitutionDAO,305847444
71,WEMIX,304440353
72,Galxe,302770626
73,Curve DAO,301944630
74,Golem,299486182
75,Dash,298771887
76,Radix,296933229
77,Turbo,296267462
78,Aragon,295568331
79,Venom,294333332
80,Amp,292880167
81,aelf,290437279
82,WOO,290277469
