,name,raw_wp_url,pdf_url,number_pages,number_images,number_characters,number_equations
0,bitcoin,https://whitepaper.io/document/0/bitcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SksIiBd6z,9,0,21807,80
1,ethereum,https://whitepaper.io/document/718/ethereum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1ugBX9Bd,42,6,88334,22
2,tether,https://whitepaper.io/document/6/tether-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJkQAIupM,20,4,39064,8
3,usd_coin,https://whitepaper.io/document/716/usd-coin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJX1cRBSO,24,3,57036,0
4,binance,https://whitepaper.io/document/10/binance-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk8JSCuaz,17,35,21998,1
5,ripple,https://whitepaper.io/document/1/ripple-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sk2X1IOaf,8,2,29413,2
6,cardano,https://whitepaper.io/document/581/cardano-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkUIhFWhL,44,44,152985,0
7,solana,https://whitepaper.io/document/602/solana-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkzN1YB9w,32,13,46055,11
8,dogecoin,https://whitepaper.io/document/672/dogecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyX-oSWQO,5,26,6855,30
9,matic_network,https://whitepaper.io/document/594/matic-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyH_XzfbD,5,1,9770,0
10,polkadot,https://whitepaper.io/document/596/polkadot-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1uD5RZKD,21,2,129061,10
11,shiba_inu,https://whitepaper.io/document/758/shiba-inu-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJsAugdOd,22,854,16561,0
12,dai,https://whitepaper.io/document/588/dai-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJQKxiTxv,25,0,47557,1
13,polygon,https://whitepaper.io/document/646/polygon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk1I25PzO,16,16,0,0
14,tron,https://whitepaper.io/document/4/tron-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJd7rLdTz,36,36,68869,19
15,avalanche,https://whitepaper.io/document/604/avalanche-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkB3-YH5P,18,0,97803,166
16,leocoin,https://whitepaper.io/document/316/leocoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryT7k3K-X,11,11,18474,0
17,wrapped_bitcoin,https://whitepaper.io/document/598/wrapped-bitcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1SUa0WFw,16,6,25948,0
18,unus_sed_leo,https://whitepaper.io/document/609/unus-sed-leo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1_BP5Hqw,18,3,43317,3
19,uniswap,https://whitepaper.io/document/708/uniswap-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyrzV-MBu,9,1,38354,42
20,cosmos,https://whitepaper.io/document/582/cosmos-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJNXW5ZnU,53,5,77086,6
21,litecoin,https://whitepaper.io/document/683/litecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkGJbIbEO,4,0,8478,5
22,chainlink,https://whitepaper.io/document/387/chainlink-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1U9CtOiE,38,4,86192,47
23,ftx_token,https://whitepaper.io/document/502/ftx-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJRMXAOeU,9,1,24541,0
24,crypto_com_chain,https://whitepaper.io/document/380/crypto-com-chain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ-RxKdsE,7,0,8960,0
25,stellar,https://whitepaper.io/document/2/stellar-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJx3ZId6M,32,0,118813,117
26,flow_dapper_labs,https://whitepaper.io/document/625/flow-dapper-labs-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyLbBhpZd,35,1,88045,69
27,lido_dao,https://whitepaper.io/document/0/lido-dao-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=lido-dao,6,0,19749,0
28,vechain,https://whitepaper.io/document/578/vechain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rysIBFW28,55,125,133565,11
29,filecoin,https://whitepaper.io/document/599/filecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1F5C0bYD,36,0,92979,53
30,chiliz,https://whitepaper.io/document/522/chiliz-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkkOi93MU,66,90,77682,0
31,internet_computer,https://whitepaper.io/document/0/internet-computer-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=internet-computer,45,0,128739,114
32,tezos,https://whitepaper.io/document/376/tezos-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkNz6udiE,17,1,37676,20
33,decentraland,https://whitepaper.io/document/92/decentraland-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ-nNYZxm,15,8,25958,1
34,hedera_hashgraph,https://whitepaper.io/document/509/hedera-hashgraph-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJTLBSqeL,97,14,205860,106
35,the_sandbox,https://whitepaper.io/document/642/the-sandbox-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJoEs-JGO,43,57,95490,4
36,quant,https://whitepaper.io/document/420/quant-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ry_rgmBpE,48,108,123107,21
37,eos_1,https://whitepaper.io/document/671/eos-1-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkAz4fWXO,8,8,41596,4
38,theta_token,https://whitepaper.io/document/72/theta-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkh7tmbxX,26,19,55259,2
39,elrond,https://whitepaper.io/document/510/elrond-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bk0fDH5x8,19,12,89482,18
40,aave,https://whitepaper.io/document/533/aave-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJCqURGmI,22,28,26297,46
41,kucoin_shares,https://whitepaper.io/document/42/kucoin-shares-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyU0dUbRG,11,9,16185,0
42,zcash,https://whitepaper.io/document/645/zcash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S17gyr-Gd,164,3,461652,1021
43,bittorrent,https://whitepaper.io/document/389/bittorrent-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1VPe1KoV,21,6,53076,5
44,iota,https://whitepaper.io/document/3/iota-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkUUXUdaf,28,0,60926,50
45,synthetix_network_token,https://whitepaper.io/document/503/synthetix-network-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rklNPAOeU,31,5,52054,85
46,klaytn,https://whitepaper.io/document/695/klaytn-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJib4XJrd,40,43,105715,2
47,maker,https://whitepaper.io/document/22/maker-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SydeWy06M,21,0,52639,0
48,gemini_dollar,https://whitepaper.io/document/0/gemini-dollar-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=gemini-dollar,7,5,13598,1
49,helium,https://whitepaper.io/document/649/helium-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJLzyA0zu,20,0,82387,31
50,neo,https://whitepaper.io/document/613/neo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bkq_qjHcv,9,4,17060,1
51,fantom,https://whitepaper.io/document/438/fantom-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJYrJN2RN,50,77,80137,9
52,pax_gold,https://whitepaper.io/document/653/pax-gold-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1tw30CGu,14,1,34364,2
53,thorchain,https://whitepaper.io/document/709/thorchain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJym0MGBd,9,7,35647,14
54,nexo,https://whitepaper.io/document/120/nexo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkkK24qem,52,179,68358,6
55,curve_dao_token,https://whitepaper.io/document/622/curve-dao-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkL5EcaWu,6,1,8735,21
56,enjin_coin,https://whitepaper.io/document/390/enjin-coin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hk6AbktjV,34,34,46406,5
57,dash,https://whitepaper.io/document/608/dash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1RrZ9B9w,16,6,27859,8
58,basic_attention_token,https://whitepaper.io/document/32/basic-attention-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByqY0kkCM,37,17,74828,26
59,waves,https://whitepaper.io/document/617/waves-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryiX5otcv,10,2,17545,0
60,zilliqa,https://whitepaper.io/document/16/zilliqa-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJnNSoK6G,14,0,70606,37
61,fei_protocol,https://whitepaper.io/document/726/fei-protocol-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJbEQ1RBO,21,28,44111,20
62,ravencoin,https://whitepaper.io/document/125/ravencoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1WmtpTlX,11,0,25978,0
63,kava_io,https://whitepaper.io/document/615/kava-io-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sk_Ny2S9v,1,1,0,0
64,compound,https://whitepaper.io/document/586/compound-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1CcaqTxv,8,0,21708,6
65,loopring,https://whitepaper.io/document/26/loopring-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkMI6kCaf,12,0,48559,30
66,celsius,https://whitepaper.io/document/524/celsius-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByIt99TzI,38,18,59585,2
67,1inch,https://whitepaper.io/document/618/1inch-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ_T2O6WO,7,3,10557,13
68,nem,https://whitepaper.io/document/583/nem-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyI975WnU,58,2,80006,74
69,holo,https://whitepaper.io/document/60/holo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJRrkaWRG,14,0,59839,44
70,ankr_network,https://whitepaper.io/document/445/ankr-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJuYzih0N,31,58,21235,0
71,terra,https://whitepaper.io/document/587/terra-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJf-1oaev,16,6,31069,9
72,arweave,https://whitepaper.io/document/627/arweave-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bk3LihTbO,11,2,27105,0
73,xinfin_network,https://whitepaper.io/document/728/xinfin-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJRS2V1Uu,20,137,41710,0
74,gnosis,https://whitepaper.io/document/116/gnosis-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hyhu48rg7,30,25,58802,0
75,usdj,https://whitepaper.io/document/0/usdj-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=usdj,9,1,14501,0
76,qtum,https://whitepaper.io/document/8/qtum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Byp2fw_pM,27,6,66730,4
77,safemoon,https://whitepaper.io/document/694/safemoon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJPwuI84O,8,8,4803,1
78,kyber_network,https://whitepaper.io/document/43/kyber-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HydX2IZRz,19,3,45503,0
79,link,https://whitepaper.io/document/0/link-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=link,29,1,44568,0
80,iotex,https://whitepaper.io/document/131/iotex-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJRgLvCgX,40,8,77435,36
81,golem,https://whitepaper.io/document/21/golem-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1Q_1yRTG,28,20,61481,0
82,theta_fuel,https://whitepaper.io/document/0/theta-fuel-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=theta-fuel,38,12,105416,12
83,rocket_pool,https://whitepaper.io/document/551/rocket-pool-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ1d-Z478,34,34,43357,0
84,reserve_rights,https://whitepaper.io/document/492/reserve-rights-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByvvJWRXr,26,1,61953,0
85,omisego,https://whitepaper.io/document/7/omisego-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJhNJDu6M,16,0,42563,2
86,harmony,https://whitepaper.io/document/512/harmony-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkVJ0H1W8,22,9,66323,11
87,iostoken,https://whitepaper.io/document/28/iostoken-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1AcQeAaM,23,1,46452,2
88,zeon,https://whitepaper.io/document/550/zeon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1mSJZV7L,13,9,29172,32
89,chain,https://whitepaper.io/document/0/chain-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=chain,25,16,29997,0
90,balancer,https://whitepaper.io/document/673/balancer-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hk9DV75mu,12,1,19839,51
91,0x,https://whitepaper.io/document/20/0x-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByDVN2tTf,16,4,32172,4
92,bora,https://whitepaper.io/document/577/bora-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Skdp96WdL,27,4,70700,1
93,symbol,https://whitepaper.io/document/0/symbol-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=symbol,123,0,195311,125
94,icon,https://whitepaper.io/document/9/icon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryflf0dTf,39,38,73901,3
95,just,https://whitepaper.io/document/0/just-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=just,9,1,14501,0
96,zencash,https://whitepaper.io/document/88/zencash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJnPCuWgX,23,0,54946,1
97,abbc_foundation,https://whitepaper.io/document/386/abbc-foundation-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1nvnK_oE,17,19,32909,2
98,serum,https://whitepaper.io/document/626/serum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rypJch6-_,11,1,16573,0
99,ontology,https://whitepaper.io/document/580/ontology-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJpb5KbnU,36,0,37300,0
100,siacoin,https://whitepaper.io/document/17/siacoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJ1-joYTG,8,0,24119,3
101,swipe,https://whitepaper.io/document/505/swipe-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1pq4kKlI,35,3,35791,0
102,audius,https://whitepaper.io/document/663/audius-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyUDGNgQd,12,0,43186,3
103,polymath,https://whitepaper.io/document/57/polymath-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyOAs3-0G,18,4,42159,0
104,voyager_token,https://whitepaper.io/document/638/voyager-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkJSEa0W_,15,1,32361,0
105,chia_network,https://whitepaper.io/document/759/chia-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bye1gl1tu,44,1,96906,317
106,ergo_1,https://whitepaper.io/document/753/ergo-1-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkocViWwd,22,2,53333,51
107,secret,https://whitepaper.io/document/733/secret-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyvJ9Nz8d,16,16,53224,0
108,swissborg,https://whitepaper.io/document/593/swissborg-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJPYxfzbv,33,87,46617,3
109,uma,https://whitepaper.io/document/620/uma-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H16_mKT-u,26,8,54639,28
110,digibyte,https://whitepaper.io/document/647/digibyte-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkZ1Jx_zd,18,12,33162,0
111,skale_network,https://whitepaper.io/document/670/skale-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJCOOlZ7O,27,10,65657,0
112,civic,https://whitepaper.io/document/607/civic-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1-By9S5D,18,40,218,1
113,keep_network,https://whitepaper.io/document/667/keep-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1gqmgbmu,11,0,38525,3
114,storj,https://whitepaper.io/document/0/storj-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=storj,90,1,206668,36
115,medibloc,https://whitepaper.io/document/176/medibloc-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJfj8Of-7,30,28,57415,3
116,ceek_vr,https://whitepaper.io/document/298/ceek-vr-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk-Z__wWm,60,60,108741,10
117,ultra,https://whitepaper.io/document/570/ultra-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H18n5SBX8,49,151,50871,0
118,humanscape,https://whitepaper.io/document/449/humanscape-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sy03to2R4,45,15,79951,5
119,stasis_euro,https://whitepaper.io/document/748/stasis-euro-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJ7vsYxvO,7,0,19054,0
120,request_network,https://whitepaper.io/document/102/request-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByeQw1BeQ,23,16,44121,2
121,energy_web_token,https://whitepaper.io/document/601/energy-web-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S17AmkzFv,20,37,41726,0
122,tribe,https://whitepaper.io/document/0/tribe-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=tribe,21,28,44111,20
123,syscoin,https://whitepaper.io/document/53/syscoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1v1v2bAf,14,3,77202,8
124,maidsafecoin,https://whitepaper.io/document/368/maidsafecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByGv7RLsV,8,2,25389,0
125,conflux_network,https://whitepaper.io/document/717/conflux-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkTCZQcHu,61,0,90137,88
126,bitcoin_standard_hashrate_token,https://whitepaper.io/document/731/bitcoin-standard-hashrate-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1kLVEMUu,8,0,15626,1
127,ren,https://whitepaper.io/document/419/ren-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJ8pRMraV,17,2,22755,0
128,celer_network,https://whitepaper.io/document/409/celer-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=By-9JN464,68,5,148645,73
129,coti,https://whitepaper.io/document/592/coti-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJm1pipgP,65,40,157044,69
130,mvl,https://whitepaper.io/document/610/mvl-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1KTa5rqP,44,13,86230,18
131,wink,https://whitepaper.io/document/497/wink-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkOFUivDB,38,38,45597,0
132,status,https://whitepaper.io/document/23/status-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1kfmyAaf,35,46,44226,0
133,power_ledger,https://whitepaper.io/document/83/power-ledger-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyHfUdbg7,7,5,11347,0
134,avinoc,https://whitepaper.io/document/0/avinoc-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=avinoc,45,4,120912,0
135,ardor,https://whitepaper.io/document/35/ardor-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJZYXgJRM,57,7,89946,0
136,velas,https://whitepaper.io/document/564/velas-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1WFCu47I,26,8,37309,4
137,orbs,https://whitepaper.io/document/398/orbs-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HymcK36oV,91,31,260632,2
138,reef,https://whitepaper.io/document/619/reef-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkU6-FpZO,20,1,35127,42
139,prometeus,https://whitepaper.io/document/664/prometeus-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1LNSVlmu,37,33,78181,8
140,function_x,https://whitepaper.io/document/534/function-x-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1tSOAMQL,24,0,46877,4
141,uquid_coin,https://whitepaper.io/document/324/uquid-coin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryCzejn-Q,36,36,54862,13
142,ocean_protocol,https://whitepaper.io/document/595/ocean-protocol-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1kyHzG-D,59,31,142101,52
143,dent,https://whitepaper.io/document/112/dent-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryj8nrHgX,30,79,46302,1
144,iexec,https://whitepaper.io/document/79/iexec-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkUATVZgQ,40,48,81922,0
145,numeraire,https://whitepaper.io/document/330/numeraire-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sy9rzU1zX,5,1,9677,3
146,dexe,https://whitepaper.io/document/0/dexe-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=dexe,9,0,13851,0
147,everscale,https://whitepaper.io/document/0/everscale-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=everscale,50,3,125968,14
148,api3,https://whitepaper.io/document/736/api3-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJgMm_4Ld,40,0,89609,1
149,steem,https://whitepaper.io/document/15/steem-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByuZ_cF6G,32,1,95159,5
150,telcoin,https://whitepaper.io/document/154/telcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyiVWfWZQ,50,50,112440,2
151,cartesi,https://whitepaper.io/document/659/cartesi-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r14C_mgmd,16,0,93833,244
152,funfair,https://whitepaper.io/document/46/funfair-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hy-veP-Rz,23,34,44174,0
153,bancor,https://whitepaper.io/document/52/bancor-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryWFBhWCf,13,8,26504,10
154,constellation,https://whitepaper.io/document/352/constellation-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJkBN964X,17,7,31488,9
155,quarkchain,https://whitepaper.io/document/135/quarkchain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1bJ4pRem,50,37,42582,0
156,chromia,https://whitepaper.io/document/737/chromia-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rklUkR48O,41,3,127112,4
157,wazirx,https://whitepaper.io/document/538/wazirx-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sy-MWkQ78,22,15,15670,1
158,augur,https://whitepaper.io/document/29/augur-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyKAHgApG,19,0,80539,106
159,raydium,https://whitepaper.io/document/662/raydium-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJgplVgQO,5,1,8262,3
160,xyo,https://whitepaper.io/document/0/xyo-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=xyo,20,2,51418,7
161,rakon,https://whitepaper.io/document/0/rakon-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=rakon,20,20,20191,0
162,bifrost,https://whitepaper.io/document/0/bifrost-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=bifrost,25,0,55674,0
