,name,raw_wp_url,pdf_url
0,bitcoin,https://whitepaper.io/document/0/bitcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SksIiBd6z
1,ethereum,https://whitepaper.io/document/718/ethereum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1ugBX9Bd
2,tether,https://whitepaper.io/document/6/tether-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJkQAIupM
3,usd_coin,https://whitepaper.io/document/716/usd-coin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJX1cRBSO
4,binance,https://whitepaper.io/document/10/binance-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk8JSCuaz
5,ripple,https://whitepaper.io/document/1/ripple-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sk2X1IOaf
6,cardano,https://whitepaper.io/document/581/cardano-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkUIhFWhL
7,solana,https://whitepaper.io/document/602/solana-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkzN1YB9w
8,dogecoin,https://whitepaper.io/document/672/dogecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyX-oSWQO
9,matic_network,https://whitepaper.io/document/594/matic-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyH_XzfbD
10,polkadot,https://whitepaper.io/document/596/polkadot-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1uD5RZKD
11,shiba_inu,https://whitepaper.io/document/758/shiba-inu-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJsAugdOd
12,dai,https://whitepaper.io/document/588/dai-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJQKxiTxv
13,polygon,https://whitepaper.io/document/646/polygon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk1I25PzO
14,tron,https://whitepaper.io/document/4/tron-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJd7rLdTz
15,avalanche,https://whitepaper.io/document/604/avalanche-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkB3-YH5P
16,leocoin,https://whitepaper.io/document/316/leocoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryT7k3K-X
17,wrapped_bitcoin,https://whitepaper.io/document/598/wrapped-bitcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1SUa0WFw
18,unus_sed_leo,https://whitepaper.io/document/609/unus-sed-leo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1_BP5Hqw
19,uniswap,https://whitepaper.io/document/708/uniswap-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyrzV-MBu
20,cosmos,https://whitepaper.io/document/582/cosmos-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJNXW5ZnU
21,litecoin,https://whitepaper.io/document/683/litecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkGJbIbEO
22,chainlink,https://whitepaper.io/document/387/chainlink-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1U9CtOiE
23,ftx_token,https://whitepaper.io/document/502/ftx-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJRMXAOeU
24,crypto_com_chain,https://whitepaper.io/document/380/crypto-com-chain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ-RxKdsE
25,stellar,https://whitepaper.io/document/2/stellar-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJx3ZId6M
26,flow_dapper_labs,https://whitepaper.io/document/625/flow-dapper-labs-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyLbBhpZd
27,lido_dao,https://whitepaper.io/document/0/lido-dao-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=lido-dao
28,vechain,https://whitepaper.io/document/578/vechain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rysIBFW28
29,filecoin,https://whitepaper.io/document/599/filecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1F5C0bYD
30,chiliz,https://whitepaper.io/document/522/chiliz-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkkOi93MU
31,internet_computer,https://whitepaper.io/document/0/internet-computer-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=internet-computer
32,tezos,https://whitepaper.io/document/376/tezos-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkNz6udiE
33,decentraland,https://whitepaper.io/document/92/decentraland-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ-nNYZxm
34,hedera_hashgraph,https://whitepaper.io/document/509/hedera-hashgraph-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJTLBSqeL
35,the_sandbox,https://whitepaper.io/document/642/the-sandbox-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJoEs-JGO
36,quant,https://whitepaper.io/document/420/quant-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ry_rgmBpE
37,eos_1,https://whitepaper.io/document/671/eos-1-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkAz4fWXO
38,theta_token,https://whitepaper.io/document/72/theta-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkh7tmbxX
39,elrond,https://whitepaper.io/document/510/elrond-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bk0fDH5x8
40,aave,https://whitepaper.io/document/533/aave-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJCqURGmI
41,kucoin_shares,https://whitepaper.io/document/42/kucoin-shares-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyU0dUbRG
42,zcash,https://whitepaper.io/document/645/zcash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S17gyr-Gd
43,bittorrent,https://whitepaper.io/document/389/bittorrent-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1VPe1KoV
44,iota,https://whitepaper.io/document/3/iota-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkUUXUdaf
45,synthetix_network_token,https://whitepaper.io/document/503/synthetix-network-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rklNPAOeU
46,klaytn,https://whitepaper.io/document/695/klaytn-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJib4XJrd
47,maker,https://whitepaper.io/document/22/maker-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SydeWy06M
48,gemini_dollar,https://whitepaper.io/document/0/gemini-dollar-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=gemini-dollar
49,helium,https://whitepaper.io/document/649/helium-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJLzyA0zu
50,neo,https://whitepaper.io/document/613/neo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bkq_qjHcv
51,fantom,https://whitepaper.io/document/438/fantom-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJYrJN2RN
52,pax_gold,https://whitepaper.io/document/653/pax-gold-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1tw30CGu
53,thorchain,https://whitepaper.io/document/709/thorchain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJym0MGBd
54,nexo,https://whitepaper.io/document/120/nexo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkkK24qem
55,curve_dao_token,https://whitepaper.io/document/622/curve-dao-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkL5EcaWu
56,enjin_coin,https://whitepaper.io/document/390/enjin-coin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hk6AbktjV
57,dash,https://whitepaper.io/document/608/dash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1RrZ9B9w
58,basic_attention_token,https://whitepaper.io/document/32/basic-attention-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByqY0kkCM
59,waves,https://whitepaper.io/document/617/waves-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryiX5otcv
60,zilliqa,https://whitepaper.io/document/16/zilliqa-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJnNSoK6G
61,fei_protocol,https://whitepaper.io/document/726/fei-protocol-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJbEQ1RBO
62,ravencoin,https://whitepaper.io/document/125/ravencoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1WmtpTlX
63,kava_io,https://whitepaper.io/document/615/kava-io-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sk_Ny2S9v
64,compound,https://whitepaper.io/document/586/compound-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1CcaqTxv
65,loopring,https://whitepaper.io/document/26/loopring-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkMI6kCaf
66,celsius,https://whitepaper.io/document/524/celsius-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByIt99TzI
67,1inch,https://whitepaper.io/document/618/1inch-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ_T2O6WO
68,nem,https://whitepaper.io/document/583/nem-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyI975WnU
69,holo,https://whitepaper.io/document/60/holo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJRrkaWRG
70,ankr_network,https://whitepaper.io/document/445/ankr-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJuYzih0N
71,terra,https://whitepaper.io/document/587/terra-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJf-1oaev
72,arweave,https://whitepaper.io/document/627/arweave-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bk3LihTbO
73,xinfin_network,https://whitepaper.io/document/728/xinfin-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJRS2V1Uu
74,gnosis,https://whitepaper.io/document/116/gnosis-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hyhu48rg7
75,usdj,https://whitepaper.io/document/0/usdj-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=usdj
76,qtum,https://whitepaper.io/document/8/qtum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Byp2fw_pM
77,safemoon,https://whitepaper.io/document/694/safemoon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJPwuI84O
78,kyber_network,https://whitepaper.io/document/43/kyber-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HydX2IZRz
79,link,https://whitepaper.io/document/0/link-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=link
80,iotex,https://whitepaper.io/document/131/iotex-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJRgLvCgX
81,golem,https://whitepaper.io/document/21/golem-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1Q_1yRTG
82,theta_fuel,https://whitepaper.io/document/0/theta-fuel-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=theta-fuel
83,rocket_pool,https://whitepaper.io/document/551/rocket-pool-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ1d-Z478
84,reserve_rights,https://whitepaper.io/document/492/reserve-rights-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByvvJWRXr
85,omisego,https://whitepaper.io/document/7/omisego-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJhNJDu6M
86,harmony,https://whitepaper.io/document/512/harmony-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkVJ0H1W8
87,iostoken,https://whitepaper.io/document/28/iostoken-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1AcQeAaM
88,zeon,https://whitepaper.io/document/550/zeon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1mSJZV7L
89,chain,https://whitepaper.io/document/0/chain-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=chain
90,balancer,https://whitepaper.io/document/673/balancer-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hk9DV75mu
91,0x,https://whitepaper.io/document/20/0x-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByDVN2tTf
92,bora,https://whitepaper.io/document/577/bora-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Skdp96WdL
93,symbol,https://whitepaper.io/document/0/symbol-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=symbol
94,icon,https://whitepaper.io/document/9/icon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryflf0dTf
95,just,https://whitepaper.io/document/0/just-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=just
96,zencash,https://whitepaper.io/document/88/zencash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJnPCuWgX
97,abbc_foundation,https://whitepaper.io/document/386/abbc-foundation-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1nvnK_oE
98,serum,https://whitepaper.io/document/626/serum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rypJch6-_
99,ontology,https://whitepaper.io/document/580/ontology-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJpb5KbnU
100,siacoin,https://whitepaper.io/document/17/siacoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJ1-joYTG
101,swipe,https://whitepaper.io/document/505/swipe-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1pq4kKlI
102,audius,https://whitepaper.io/document/663/audius-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyUDGNgQd
103,polymath,https://whitepaper.io/document/57/polymath-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyOAs3-0G
