,name_x,market_cap,number_pages,number_images,number_characters,number_equations
0,Bitcoin,1206547874874,9,0,21807,80
1,Ethereum,320467809737,42,6,88334,22
2,Tether,115641341009,20,4,39064,8
3,Solana,72770697539,32,13,46055,11
4,Dogecoin,15948639496,5,26,6855,30
5,Cardano,12547526580,44,44,152985,0
6,TRON,11197384701,36,36,68869,19
7,Wrapped Bitcoin,9456295090,16,6,25948,0
8,Avalanche,8732633922,18,0,97803,166
9,Shiba Inu,8479382247,22,854,16561,0
10,Polkadot,6673494233,21,2,129061,10
11,Chainlink,6497351308,38,4,86192,47
12,Dai,5230896904,25,0,47557,1
13,Uniswap,4707349375,9,1,38354,42
14,Litecoin,4618194421,4,0,8478,5
15,Polygon,4007318637,16,16,0,0
16,Internet Computer,3462654099,45,0,128739,114
17,Stellar,3004553592,32,0,118813,117
18,Filecoin,2205968799,36,0,92979,53
19,VeChain,1935424649,55,125,133565,11
20,Maker,1856147715,21,0,52639,0
21,Arweave,1461384199,11,2,27105,0
22,Aave,1408562111,22,28,26297,46
23,THORChain,1138687137,9,7,35647,14
24,Helium,1079616043,20,0,82387,31
25,JasmyCoin,1064596297,22,16,21136,0
26,Fantom,997292849,50,77,80137,9
27,Quant,995615058,48,108,123107,21
28,Lido DAO,987905877,6,0,19749,0
29,BitTorrent,748428457,21,6,53076,5
30,Beam,747027279,4,0,10350,1
31,Akash Network,725978422,13,4,33852,74
32,NEO,694918110,9,4,17060,1
33,Tezos,682406519,17,1,37676,20
34,Zcash,624189016,164,3,461652,1021
35,The Sandbox,618933043,43,57,95490,4
36,NEXO,609775548,52,179,68358,6
37,AIOZ Network,562494465,26,17,40365,3
38,Decentraland,523682046,15,8,25958,1
39,Chiliz,514817805,66,90,77682,0
40,Raydium,511553994,5,1,8262,3
41,Klaytn,497870650,40,43,105715,2
42,IOTA,463635500,28,0,60926,50
43,PAX Gold,455188745,14,1,34364,2
44,Gnosis,453686294,30,25,58802,0
45,DeXe,445292554,9,0,13851,0
46,SafePal,394671556,30,66,15029,1
47,Theta Fuel,385811913,38,12,105416,12
48,Compound,353384146,8,0,21708,6
49,1inch,345505947,7,3,10557,13
50,Beldex,341081379,30,30,41917,0
51,IoTeX,330382932,40,8,77435,36
52,Golem,299486182,28,20,61481,0
53,Dash,298771887,16,6,27859,8
54,aelf,290437279,35,34,69059,3
55,Tribe,273916337,21,28,44111,20
56,JUST,269760985,9,1,14501,0
57,Zilliqa,267511140,14,0,70606,37
58,Siacoin,265078707,8,0,24119,3
59,Ankr Network,262775167,31,58,21235,0
60,Holo,255653586,14,0,59839,44
61,Rocket Pool,248496476,34,34,43357,0
62,Terra,245878785,16,6,31069,9
